location,bedrooms,bathrooms,price,site
Westlands,2,2,170000,Property24
Ngong Rd,2,2,26500,Property24
Kileleshwa,2,2,80000,Property24
Langata,2,2,27000,Property24
Lavington,2,2,250000,Property24
Kitisuru,3,2,90000,Property24
Kilimani,2,2,70000,Property24
Garden Estate,3,2,80000,Property24
Kilimani,2,2,200000,Property24
Nairobi West,2,2,38000,Property24
Kilimani,2,2,65000,Property24
Kileleshwa,2,2,45000,Property24
Loresho,2,2,70000,Property24
Kilimani,4,4,150000,Property24
Kilimani,3,3,260000,Property24
Ngong Rd,1,1,25000,Property24
Parklands,2,2,165000,Property24
Westlands,3,3,350000,Property24
Lavington,3,3,70000,Property24
Kilimani,2,2,85000,Property24
Lavington,3,3,220000,Property24
Westlands,3,4,350000,Property24
Westlands,3,4,130000,Property24
Westlands,2,2,210000,Property24
Kilimani,2,2,170000,Property24
Westlands,3,3,150000,Property24
Kilimani,3,2,85000,Property24
Ngong Rd,1,1,25000,Property24
Kilimani,2,2,200000,Property24
South C,2,2,35000,Property24
Westlands,2,2,180000,Property24
Lavington,3,3,80000,Property24
Lavington,3,2,150000,Property24
Kileleshwa,3,3,80000,Property24
Kileleshwa,2,3,75000,Property24
Westlands,2,2,75000,Property24
Kilimani,3,3,95000,Property24
Westlands,2,3,170000,Property24
Kilimani,2,2,10500000,Property24
Kilimani,2,2,170000,Property24
Kilimani,3,3,110000,Property24
Kilimani,3,3,200000,Property24
Westlands,1,1,150000,Property24
Ngong Rd,2,1,35000,Property24
Westlands,3,3,150000,Property24
Westlands,3,3,150000,Property24
Lavington,3,1,90000,Property24
Kileleshwa,3,4,240000,Property24
South C,2,1,32000,Property24
Westlands,3,3,150000,Property24
Langata,3,2,52000,Property24
Kileleshwa,3,3,85000,Property24
Garden Estate,4,4,250000,Property24
Ngong Rd,2,2,45000,Property24
Kilimani,2,1,55000,Property24
Kileleshwa,2,2,150000,Property24
Parklands,2,2,150000,Property24
Westlands,1,2,190000,Property24
Kilimani,3,2,100000,Property24
Langata,3,2,65000,Property24
Lavington,3,3,90000,Property24
Kileleshwa,1,1,50000,Property24
Kileleshwa,3,3,45000,Property24
Westlands,2,3,170000,Property24
Westlands,3,3,330000,Property24
Kilimani,3,2,75000,Property24
Ngong Rd,1,1,30000,Property24
Spring Valley,3,3,330000,Property24
Westlands,4,3,115000,Property24
Kitisuru,2,2,75000,Property24
Langata,2,1,25000,Property24
Lavington,4,4,150000,Property24
Spring Valley,3,4,400000,Property24
Ngong Rd,1,1,27000,Property24
Parklands,2,2,165000,Property24
Kiambu Road,2,2,45000,Property24
Kileleshwa,3,3,85000,Property24
Westlands,4,3,100000,Property24
Westlands,3,3,360000,Property24
Kileleshwa,3,4,130000,Property24
Langata,3,2,35000,Property24
Kilimani,1,1,20000,Property24
Kitisuru,3,2,75000,Property24
Ngong Rd,2,1,45000,Property24
Langata,2,1,35000,Property24
Spring Valley,2,3,250000,Property24
Ngong Rd,2,2,50000,Property24
Westlands,3,2,200000,Property24
Kileleshwa,3,3,85000,Property24
Syokimau,3,4,35000,Property24
Ngong Rd,1,1,30000,Property24
Kileleshwa,3,4,150000,Property24
Kileleshwa,3,3,150000,Property24
Westlands,3,3,420000,Property24
Kilimani,2,2,80000,Property24
Lavington,4,3,95000,Property24
Kileleshwa,1,1,45000,Property24
Lavington,3,3,75000,Property24
Kilimani,2,2,250000,Property24
Westlands,3,3,360000,Property24
Kileleshwa,2,1,35000,Property24
Westlands,2,3,75000,Property24
Kilimani,2,2,200000,Property24
Westlands,3,3,120000,Property24
Ngong Rd,1,1,30000,Property24
Kilimani,3,1,70000,Property24
Westlands,3,4,350000,Property24
Westlands,3,2,250000,Property24
Ngong Rd,1,1,30000,Property24
Kilimani,2,2,250000,Property24
Kilimani,2,2,65000,Property24
Parklands,2,2,320000,Property24
South B,1,1,15000,Property24
Kiambu Road,2,2,45000,Property24
Kilimani,2,2,85000,Property24
Lavington,2,2,160000,Property24
Ngong Rd,1,1,25000,Property24
Kilimani,3,3,260000,Property24
Kilimani,3,1,75000,Property24
Westlands,3,4,220000,Property24
Langata,3,2,35000,Property24
Kilimani,1,1,130000,Property24
South B,2,2,35000,Property24
Westlands,2,2,120000,Property24
Ruaraka,2,2,200000,Property24
Spring Valley,3,3,330000,Property24
Kileleshwa,2,2,65000,Property24
Westlands,3,3,135000,Property24
Lavington,3,3,90000,Property24
Westlands,4,4,120000,Property24
Kilimani,2,2,250000,Property24
Westlands,4,5,250000,Property24
Ngong Rd,2,2,65000,Property24
Lavington,3,3,70000,Property24
Kileleshwa,3,3,140000,Property24
Westlands,3,3,120000,Property24
Ngong Rd,3,2,65000,Property24
Langata,1,1,28000,Property24
Runda,1,1,70000,Property24
Kilimani,3,3,85000,Property24
Mbagathi Way,2,1,40000,Property24
Lavington,3,3,70000,Property24
Westlands,1,1,80000,Property24
Syokimau,2,2,8000000,Property24
Kitisuru,2,2,180000,Property24
Nairobi West,1,1,30000,Property24
Westlands,2,2,150000,Property24
Riverside,1,1,85000,Property24
Lavington,3,3,230000,Property24
Kileleshwa,4,3,100000,Property24
Westlands,2,3,190000,Property24
Westlands,3,3,340000,Property24
Kileleshwa,3,3,85000,Property24
Kilimani,2,2,140000,Property24
Spring Valley,4,4,250000,Property24
Parklands,2,2,320000,Property24
Spring Valley,3,3,150000,Property24
Madaraka,2,2,51000,Property24
Langata,2,1,38000,Property24
Westlands,4,4,15000,Property24
Westlands,3,3,360000,Property24
Kilimani,3,3,75000,Property24
Karen,1,1,30000,Property24
Riverside,3,3,330000,Property24
Kilimani,2,2,65000,Property24
Westlands,3,3,150000,Property24
Lavington,3,3,110000,Property24
Kiambu Road,2,2,45000,Property24
Langata,2,2,40000,Property24
Kilimani,3,4,170000,Property24
Kileleshwa,2,2,55000,Property24
Langata,1,1,25000,Property24
Riverside,3,2,130000,Property24
Ridgeways,4,4,110000,Property24
Kilimani,3,3,85000,Property24
Riverside,2,2,160000,Property24
Lavington,1,4,130000,Property24
Westlands,2,2,120000,Property24
South B,3,2,60000,Property24
Kilimani,1,1,70000,Property24
South C,2,2,35000,Property24
Parklands,3,3,250000,Property24
Lower Kabete,2,1,25000,Property24
Lavington,3,3,75000,Property24
Westlands,3,4,150000,Property24
Kitisuru,1,1,23000,Property24
Kilimani,2,2,170000,Property24
Parklands,4,4,140000,Property24
Riverside,3,3,350000,Property24
Riverside,2,2,75000,Property24
Ngong Rd,1,1,20000,Property24
Westlands,2,2,190000,Property24
Kilimani,3,3,130000,Property24
Kilimani,3,2,70000,Property24
Madaraka,2,1,40000,Property24
Westlands,2,2,110000,Property24
Kilimani,2,2,120000,Property24
Kileleshwa,3,3,180000,Property24
Kilimani,3,2,100000,Property24
Kileleshwa,3,4,165000,Property24
Kilimani,3,3,120000,Property24
Parklands,3,4,350000,Property24
Kileleshwa,3,3,130000,Property24
Kilimani,2,2,250000,Property24
Lavington,2,2,65000,Property24
Riverside,4,4,130000,Property24
Kileleshwa,2,2,150000,Property24
Garden Estate,3,4,99000,Property24
Syokimau,3,4,33000,Property24
Rosslyn,1,1,170000,Property24
Westlands,2,2,70000,Property24
Westlands,3,3,260000,Property24
Langata,2,1,28000,Property24
Rosslyn,4,5,300000,Property24
Riverside,3,3,120000,Property24
Riverside,3,3,170000,Property24
Kileleshwa,2,2,60000,Property24
Kilimani,3,3,130000,Property24
Kilimani,1,1,55000,Property24
Langata,2,1,50000,Property24
Nyari,5,6,798000,Property24
Langata,2,2,35000,Property24
Kilimani,3,3,90000,Property24
Kilimani,2,2,160000,Property24
Rosslyn,2,3,250000,Property24
Westlands,2,2,150000,Property24
Westlands,3,3,80000,Property24
Westlands,2,2,200000,Property24
Nairobi West,1,1,25000,Property24
Lavington,3,3,110000,Property24
Westlands,4,4,110000,Property24
Westlands,3,3,150000,Property24
Parklands,3,2,65000,Property24
Lavington,4,4,240000,Property24
Langata,3,2,35000,Property24
Kileleshwa,2,2,170000,Property24
Kileleshwa,3,3,130000,Property24
Mbagathi Way,2,2,38000,Property24
Westlands,3,3,100000,Property24
Kileleshwa,3,2,110000,Property24
Muthaiga,3,2,262000,Property24
Kilimani,2,3,95000,Property24
Ruaka,2,2,35000,Property24
Ngong Rd,2,1,53000,Property24
Lavington,3,3,80000,Property24
Lavington,3,3,150000,Property24
Langata,2,3,52500,Property24
Kileleshwa,1,1,35000,Property24
Langata,2,2,40000,Property24
Kilimani,2,2,130000,Property24
Kilimani,3,3,75000,Property24
Kilimani,2,2,85000,Property24
Lavington,2,2,200000,Property24
Nairobi CBD,2,2,140000,Property24
Kilimani,4,4,140000,Property24
Westlands,2,2,230000,Property24
Spring Valley,2,2,120000,Property24
Uthiru,1,1,30000,Property24
Spring Valley,3,3,150000,Property24
Kilimani,3,3,85000,Property24
Riverside,3,3,330000,Property24
Lavington,4,4,140000,Property24
Westlands,3,3,190000,Property24
Kilimani,2,2,70000,Property24
Spring Valley,2,2,270000,Property24
Kileleshwa,3,3,120000,Property24
Kilimani,3,3,110000,Property24
Kilimani,3,3,100000,Property24
Kilimani,2,2,170000,Property24
Kilimani,4,4,40000000,Property24
Riverside,3,3,160000,Property24
Kileleshwa,3,3,120000,Property24
Kilimani,1,1,45000,Property24
Ngong Rd,1,1,20000,Property24
Westlands,4,3,85000,Property24
Kilimani,2,2,170000,Property24
Kilimani,3,2,75000,Property24
Westlands,2,3,90000,Property24
Westlands,4,3,120000,Property24
Parklands,2,2,150000,Property24
Kilimani,1,1,65000,Property24
Westlands,2,2,120000,Property24
Westlands,4,4,100000,Property24
Kilimani,3,3,160000,Property24
Westlands,4,5,250000,Property24
Westlands,3,3,105000,Property24
Westlands,2,2,130000,Property24
Lavington,4,4,150000,Property24
Riverside,3,3,340000,Property24
Kilimani,2,2,155000,Property24
Langata,3,2,35000,Property24
Westlands,4,4,220000,Property24
Spring Valley,4,4,300000,Property24
Lavington,2,2,90000,Property24
Westlands,3,3,180000,Property24
Kilimani,2,2,160000,Property24
Langata,2,2,50000,Property24
Kilimani,2,2,130000,Property24
Ngong Rd,3,2,55000,Property24
Kileleshwa,3,3,130000,Property24
Kileleshwa,3,3,130000,Property24
Parklands,2,2,170000,Property24
Riverside,3,4,145000,Property24
Kilimani,3,3,200000,Property24
Kilimani,3,3,110000,Property24
South B,2,2,45000,Property24
Parklands,3,4,115000,Property24
Kilimani,2,2,250000,Property24
Westlands,1,1,3500,Property24
Lavington,3,3,75000,Property24
Kileleshwa,2,2,130000,Property24
Westlands,3,4,200000,Property24
Parklands,3,3,250000,Property24
Riverside,3,4,230000,Property24
Kilimani,4,3,95000,Property24
Kileleshwa,2,2,50000,Property24
Westlands,3,3,380000,Property24
Riverside,2,2,100000,Property24
Westlands,2,2,120000,Property24
Lavington,2,2,80000,Property24
Westlands,4,5,180000,Property24
Langata,2,1,30000,Property24
Kileleshwa,1,1,40000,Property24
Lavington,2,2,80000,Property24
Kileleshwa,2,2,50000,Property24
Westlands,2,2,120000,Property24
Lavington,3,3,140000,Property24
Westlands,2,2,250000,Property24
Lavington,3,3,75000,Property24
Westlands,3,3,280000,Property24
Langata,3,2,55000,Property24
South B,2,2,48000,Property24
Kilimani,1,1,68000,Property24
Westlands,2,2,120000,Property24
Kileleshwa,3,2,110000,Property24
South B,2,2,40000,Property24
Westlands,3,3,220000,Property24
Westlands,4,5,180000,Property24
Kileleshwa,4,4,300000,Property24
Kilimani,1,1,65000,Property24
Lavington,4,3,90000,Property24
Kitisuru,3,3,95000,Property24
Westlands,4,4,300000,Property24
Kilimani,1,1,45000,Property24
Rosslyn,3,3,340000,Property24
Westlands,2,2,120000,Property24
Spring Valley,3,4,400000,Property24
Lower Kabete,1,1,26000,Property24
Kileleshwa,3,3,140000,Property24
Kitisuru,2,2,75000,Property24
Kileleshwa,3,3,120000,Property24
Kilimani,2,2,180000,Property24
Ngong Rd,2,1,35000,Property24
Westlands,3,3,140000,Property24
Mountain View,1,1,20000,Property24
Parklands,2,2,150000,Property24
Langata,1,1,22000,Property24
Westlands,3,3,280000,Property24
Kileleshwa,3,4,130000,Property24
Kilimani,3,2,70000,Property24
Ngong Rd,2,1,45000,Property24
Garden Estate,3,4,104000,Property24
Kilimani,2,2,65000,Property24
Langata,1,1,18000,Property24
Lavington,3,3,80000,Property24
Spring Valley,3,2,150000,Property24
Kilimani,1,1,50000,Property24
Parklands,2,2,150000,Property24
Westlands,2,2,65000,Property24
Spring Valley,2,3,180000,Property24
Kilimani,3,3,160000,Property24
Kileleshwa,3,2,62000,Property24
Garden Estate,2,2,19000000,Property24
Kilimani,4,4,400000,Property24
Kileleshwa,3,4,150000,Property24
Lavington,3,2,75000,Property24
Kilimani,2,2,100000,Property24
Kilimani,3,3,150000,Property24
Ngong Rd,2,2,35000,Property24
Westlands,2,3,100000,Property24
Ngong Rd,2,2,57000,Property24
South B,2,1,40000,Property24
Westlands,3,3,150000,Property24
Westlands,2,2,80000,Property24
Westlands,2,2,200000,Property24
Kileleshwa,1,1,130000,Property24
Kilimani,3,2,80000,Property24
Kitisuru,3,2,90000,Property24
Garden Estate,3,3,220000,Property24
Lavington,3,2,70000,Property24
Kilimani,3,3,200000,Property24
Ngong Rd,2,2,45000,Property24
Westlands,3,3,150000,Property24
Kilimani,1,1,70000,Property24
Riverside,3,3,350000,Property24
Langata,2,1,25000,Property24
Ngong Rd,1,1,35000,Property24
Garden Estate,3,3,210000,Property24
Kileleshwa,3,4,120000,Property24
Riverside,3,3,350000,Property24
Mountain View,3,3,55000,Property24
Kileleshwa,3,1,45000,Property24
Kilimani,3,3,150000,Property24
Muthaiga,4,4,150000,Property24
Ruaka,1,1,35000,Property24
Langata,3,1,48500,Property24
Kilimani,3,3,150000,Property24
Westlands,2,2,18000,Property24
Lavington,3,3,110000,Property24
Loresho,4,4,170000,Property24
Spring Valley,4,5,300000,Property24
Garden Estate,2,2,180000,Property24
Kilimani,2,2,200000,Property24
Nairobi West,2,1,38000,Property24
Kileleshwa,2,2,70000,Property24
Garden Estate,3,3,220000,Property24
Kilimani,4,3,110000,Property24
Mombasa Rd,2,1,35000,Property24
Riverside,2,2,90000,Property24
Ngong Rd,2,1,35000,Property24
Westlands,2,3,90000,Property24
Kileleshwa,2,3,150000,Property24
Kileleshwa,2,2,140000,Property24
Lavington,1,1,55000,Property24
Kilimani,3,2,75000,Property24
Spring Valley,3,3,350000,Property24
Westlands,2,2,300000,Property24
Garden Estate,3,3,210000,Property24
Mbagathi Way,3,3,65000,Property24
Kilimani,2,2,250000,Property24
Kileleshwa,3,3,150000,Property24
Kilimani,3,3,120000,Property24
Garden Estate,2,2,190000,Property24
Lavington,1,1,130000,Property24
Riverside,3,3,200000,Property24
Garden Estate,3,3,210000,Property24
Garden Estate,2,2,190000,Property24
Westlands,1,1,100000,Property24
Spring Valley,2,2,250000,Property24
Westlands,3,3,200000,Property24
Ngong Rd,3,2,50000,Property24
Lavington,3,2,85000,Property24
Lavington,4,4,200000,Property24
Kilimani,1,1,45000,Property24
Kilimani,3,3,85000,Property24
Kilimani,5,5,200000,Property24
Kilimani,2,2,70000,Property24
Westlands,1,2,90000,Property24
Kileleshwa,3,2,150000,Property24
Syokimau,3,3,50000,Property24
Riverside,3,3,150000,Property24
Westlands,2,2,200000,Property24
Garden Estate,2,2,190000,Property24
Kilimani,3,4,250000,Property24
Parklands,2,2,150000,Property24
Garden Estate,2,2,100000,Property24
Kilimani,2,3,60000,Property24
Lavington,3,3,150000,Property24
Westlands,2,2,150000,Property24
Garden Estate,2,2,110000,Property24
Westlands,3,3,140000,Property24
Westlands,3,3,150000,Property24
Muthaiga,2,2,250000,Property24
Kileleshwa,2,2,65000,Property24
Westlands,2,2,210000,Property24
Westlands,2,2,260000,Property24
Westlands,2,2,270000,Property24
Ngong Rd,1,1,22000,Property24
Ngong Rd,1,1,25000,Property24
Kilimani,3,3,300000,Property24
Westlands,3,3,150000,Property24
Kitisuru,1,1,22000,Property24
Kileleshwa,3,3,90000,Property24
Kilimani,4,5,140000,Property24
Kileleshwa,3,3,230000,Property24
Kilimani,2,2,60000,Property24
Garden Estate,2,2,110000,Property24
Lavington,3,3,150000,Property24
Westlands,3,4,140000,Property24
Langata,1,1,23000,Property24
Ngong Rd,2,2,40000,Property24
Kilimani,1,1,130000,Property24
Loresho,2,2,70000,Property24
Ruaka,2,2,43000,Property24
Peponi,3,3,180000,Property24
Lavington,2,2,60000,Property24
Westlands,4,5,250000,Property24
Westlands,2,2,90000,Property24
Langata,1,1,25000,Property24
Loresho,2,2,145000,Property24
Parklands,3,3,250000,Property24
Kilimani,3,3,150000,Property24
Kilimani,1,1,6000,Property24
Westlands,3,3,200000,Property24
Lavington,1,1,120000,Property24
Kitisuru,2,2,75000,Property24
Syokimau,3,3,35000,Property24
Valley Arcade,1,1,25000,Property24
Westlands,3,3,250000,Property24
Kilimani,2,2,75000,Property24
Kileleshwa,2,2,110000,Property24
Langata,3,1,45000,Property24
Kilimani,3,2,125000,Property24
Lavington,2,2,55000,Property24
Kileleshwa,2,2,75000,Property24
Ngong Rd,1,1,31000,Property24
Westlands,4,5,490000,Property24
Kileleshwa,4,5,140000,Property24
Kileleshwa,3,3,120000,Property24
Nairobi West,2,2,35000,Property24
Kileleshwa,3,3,250000,Property24
Westlands,4,5,450000,Property24
Kilimani,2,2,85000,Property24
Westlands,3,3,270000,Property24
Westlands,4,3,100000,Property24
Lavington,3,3,80000,Property24
Kilimani,2,2,85000,Property24
Ngong Rd,2,2,55000,Property24
Westlands,3,3,350000,Property24
Lavington,3,2,85000,Property24
Westlands,4,5,490000,Property24
Nairobi West,2,1,50000,Property24
Kilimani,3,3,100000,Property24
Westlands,3,4,215000,Property24
Ngong Rd,1,1,36500,Property24
Westlands,2,2,100000,Property24
Kileleshwa,1,1,47000,Property24
Kilimani,2,2,250000,Property24
Westlands,3,4,180000,Property24
Riverside,3,3,150000,Property24
Ngong Rd,1,1,20000,Property24
Thome,3,3,60000,Property24
Westlands,3,3,260000,Property24
South B,2,1,15000,Property24
Westlands,3,3,150000,Property24
Kileleshwa,3,3,120000,Property24
Westlands,3,3,90000,Property24
Westlands,3,3,400000,Property24
Lavington,2,2,85000,Property24
Westlands,4,4,550000,Property24
Kileleshwa,1,1,45000,Property24
Kilimani,2,2,10500000,Property24
Kilimani,2,2,110000,Property24
Kileleshwa,2,2,90000,Property24
Muthaiga,3,3,100000,Property24
Langata,2,2,45000,Property24
Peponi,3,3,350000,Property24
Upper Hill,3,3,80000,Property24
Lavington,3,2,60000,Property24
Kilimani,3,3,80000,Property24
Parklands,4,4,180000,Property24
Langata,2,1,30000,Property24
Ruaka,1,1,20000,Property24
Riverside,2,2,100000,Property24
Westlands,3,3,150000,Property24
Kileleshwa,3,3,85000,Property24
Westlands,4,5,300000,Property24
Lavington,2,2,70000,Property24
Kilimani,3,2,75000,Property24
Kilimani,1,2,65000,Property24
Westlands,3,3,250000,Property24
Kilimani,2,2,120000,Property24
Ngong Rd,2,1,30000,Property24
Kilimani,2,2,60000,Property24
Riverside,3,3,250000,Property24
Kileleshwa,4,2,120000,Property24
Westlands,3,4,140000,Property24
Ngong Rd,1,1,20000,Property24
Spring Valley,3,4,300000,Property24
Ruaka,2,1,24000,Property24
Westlands,3,3,130000,Property24
Kileleshwa,3,2,75000,Property24
Westlands,3,3,400000,Property24
Kileleshwa,3,3,130000,Property24
Parklands,2,1,53000,Property24
Kileleshwa,2,2,80000,Property24
Kilimani,2,2,250000,Property24
Kilimani,2,2,80000,Property24
Kilimani,4,3,80000,Property24
Westlands,3,4,140000,Property24
South B,2,1,37000,Property24
Westlands,3,3,160000,Property24
Muthaiga,3,3,270000,Property24
Westlands,3,3,380000,Property24
Westlands,3,4,160000,Property24
Kilimani,1,1,4000,Property24
Westlands,3,3,200000,Property24
Kileleshwa,2,3,180000,Property24
Upper Hill,1,1,135000,Property24
Kilimani,3,3,85000,Property24
Westlands,3,4,140000,Property24
Westlands,4,4,250000,Property24
Ngong Rd,2,2,33000,Property24
Kilimani,2,2,85000,Property24
Kileleshwa,3,3,120000,Property24
Kilimani,4,5,140000,Property24
Kilimani,3,3,65000,Property24
Westlands,2,2,150000,Property24
Ngong Rd,3,2,55000,Property24
Westlands,3,4,80000,Property24
Kileleshwa,3,3,85000,Property24
Lavington,2,2,65000,Property24
Kilimani,3,3,110000,Property24
Kileleshwa,3,3,120000,Property24
Nairobi West,2,1,35000,Property24
Kileleshwa,3,2,80000,Property24
Kilimani,3,3,80000,Property24
Ongata Rongai,2,2,37000,Property24
Madaraka,3,2,40000,Property24
Westlands,3,3,180000,Property24
Westlands,2,2,338000,Property24
Westlands,3,3,150000,Property24
Ngong Rd,1,1,30000,Property24
Kileleshwa,4,3,70000,Property24
Lavington,2,2,120000,Property24
Kilimani,3,2,90000,Property24
Nairobi West,2,1,35000,Property24
Westlands,2,2,160000,Property24
Parklands,3,3,95000,Property24
Parklands,3,2,120000,Property24
Kilimani,4,4,400000,Property24
Ruaka,3,3,55000,Property24
Kilimani,4,5,140000,Property24
Kilimani,2,2,70000,Property24
Ngong Rd,1,1,36000,Property24
Kilimani,2,2,120000,Property24
Westlands,1,2,70000,Property24
Kileleshwa,2,2,75000,Property24
Kilimani,2,2,55000,Property24
Riverside,3,3,300000,Property24
Peponi,2,2,230000,Property24
Kileleshwa,3,3,85000,Property24
Lavington,3,2,60000,Property24
Westlands,1,1,70000,Property24
Kilimani,4,5,140000,Property24
Kilimani,2,2,75000,Property24
Kileleshwa,3,3,150000,Property24
Westlands,2,2,250000,Property24
Westlands,4,5,450000,Property24
Ngong Rd,2,1,35000,Property24
Westlands,4,4,180000,Property24
Kileleshwa,1,1,130000,Property24
Ngong Rd,3,1,65000,Property24
Ngong Rd,1,1,25000,Property24
Westlands,3,4,180000,Property24
Westlands,3,3,150000,Property24
Westlands,3,3,400000,Property24
Ngong Rd,3,2,65000,Property24
Muthaiga,3,3,250000,Property24
Kileleshwa,3,3,150000,Property24
Ngong Rd,2,1,45000,Property24
Kilimani,3,3,100000,Property24
Kitisuru,3,2,90000,Property24
Langata,2,1,55000,Property24
Parklands,3,3,130000,Property24
South B,1,1,80000,Property24
Lavington,2,2,200000,Property24
Westlands,3,4,200000,Property24
Lavington,2,3,75000,Property24
Westlands,4,4,165000,Property24
Spring Valley,4,5,550000,Property24
Kileleshwa,3,4,120000,Property24
Westlands,2,2,230000,Property24
Kileleshwa,3,3,130000,Property24
Westlands,2,2,120000,Property24
Kilimani,2,2,145000,Property24
Kileleshwa,3,3,120000,Property24
Kileleshwa,3,4,120000,Property24
Ruaka,1,1,35000,Property24
Kilimani,3,3,170000,Property24
Kileleshwa,2,2,55000,Property24
Riverside,3,3,220000,Property24
Riverside,4,5,300000,Property24
Kilimani,3,3,130000,Property24
Westlands,3,3,150000,Property24
Ngong Rd,2,1,40000,Property24
Westlands,4,4,450000,Property24
Kileleshwa,2,2,60000,Property24
Kilimani,2,2,80000,Property24
Parklands,3,4,125000,Property24
Kileleshwa,3,3,100000,Property24
Lavington,2,2,70000,Property24
Parklands,3,4,97000,Property24
Gigiri,3,3,180000,Property24
Kileleshwa,4,4,130000,Property24
Dagoretti,2,2,35000,Property24
Westlands,3,3,300000,Property24
Lavington,3,2,80000,Property24
Kilimani,3,3,90000,Property24
Kilimani,2,2,80000,Property24
Kilimani,1,1,20000,Property24
Spring Valley,3,3,150000,Property24
Westlands,3,3,90000,Property24
Riverside,3,3,300000,Property24
Kileleshwa,1,2,60000,Property24
Lavington,3,3,90000,Property24
Lavington,2,3,150000,Property24
Kitisuru,3,2,90000,Property24
Kitisuru,2,2,75000,Property24
Lavington,3,4,100000,Property24
Kilimani,2,3,250000,Property24
Westlands,2,2,400000,Property24
Westlands,3,4,200000,Property24
Westlands,4,4,100000,Property24
South B,2,1,42000,Property24
Lavington,3,2,85000,Property24
Riverside,2,2,200000,Property24
Madaraka,3,2,60000,Property24
Westlands,2,2,190000,Property24
Kilimani,1,1,130000,Property24
Kilimani,3,4,100000,Property24
Karen,3,1,20000,Property24
Kilimani,3,4,90000,Property24
Lavington,2,2,75000,Property24
Westlands,1,1,210000,Property24
Kileleshwa,3,3,130000,Property24
Kilimani,2,2,85000,Property24
Kileleshwa,2,2,65000,Property24
Kileleshwa,3,3,90000,Property24
Lavington,3,3,80000,Property24
Rosslyn,4,4,300000,Property24
Langata,3,2,55000,Property24
Westlands,3,3,90000,Property24
Kilimani,2,2,90000,Property24
Ngong Rd,2,2,32000,Property24
Spring Valley,3,3,150000,Property24
Lavington,3,2,65000,Property24
Ngong Rd,1,1,25000,Property24
Westlands,2,2,150000,Property24
Rosslyn,3,3,250000,Property24
Westlands,1,1,160000,Property24
Nyari,1,2,100000,Property24
Kileleshwa,2,2,85000,Property24
Milimani,4,3,170000,Property24
Nairobi West,3,1,45000,Property24
Westlands,2,2,140000,Property24
Lavington,4,3,200000,Property24
Spring Valley,3,3,150000,Property24
Kilimani,3,4,160000,Property24
Parklands,5,3,160000,Property24
Kilimani,3,4,160000,Property24
Muthaiga,2,2,170000,Property24
Kilimani,3,3,90000,Property24
Spring Valley,3,2,200000,Property24
Kilimani,1,1,150000,Property24
Lavington,3,3,75000,Property24
Kilimani,3,3,260000,Property24
Kileleshwa,3,3,110000,Property24
Imara Daima,3,3,50000,Property24
Kilimani,3,4,160000,Property24
Kilimani,3,4,160000,Property24
Westlands,4,4,135000,Property24
Spring Valley,3,2,200000,Property24
Kilimani,2,2,55000,Property24
Kileleshwa,3,3,130000,Property24
Uthiru,2,1,30000,Property24
Kileleshwa,3,3,120000,Property24
Kilimani,2,2,65000,Property24
Westlands,4,4,150000,Property24
Westlands,2,2,200000,Property24
Westlands,4,4,150000,Property24
Lavington,4,3,110000,Property24
Westlands,3,3,75000,Property24
Lavington,3,3,180000,Property24
Lavington,4,4,120000,Property24
Langata,3,2,35000,Property24
Kilimani,2,2,195000,Property24
Riverside,4,4,370000,Property24
Spring Valley,2,2,250000,Property24
Langata,1,1,33000,Property24
Parklands,3,3,90000,Property24
Westlands,3,3,130000,Property24
Kileleshwa,3,3,250000,Property24
Ngong Rd,1,1,15000,Property24
Westlands,2,2,75000,Property24
Lavington,3,3,90000,Property24
Riverside,2,2,100000,Property24
Lavington,3,3,95000,Property24
Westlands,3,3,260000,Property24
South B,2,1,30000,Property24
Kileleshwa,1,1,60000,Property24
Parklands,2,2,70000,Property24
Kitisuru,3,2,105000,Property24
Kilimani,1,1,60000,Property24
Westlands,3,2,100000,Property24
Kileleshwa,2,2,65000,Property24
Kileleshwa,2,2,76000,Property24
Westlands,2,2,180000,Property24
Parklands,3,3,110000,Property24
Kilimani,3,3,95000,Property24
Westlands,1,1,56000,Property24
Westlands,2,2,180000,Property24
Kileleshwa,1,1,75000,Property24
Kilimani,2,2,250000,Property24
Langata,2,1,40000,Property24
Lavington,2,2,80000,Property24
Riverside,3,4,160000,Property24
Lavington,3,4,120000,Property24
Riverside,2,2,100000,Property24
Karen,3,3,85000,Property24
Lavington,3,4,80000,Property24
Kileleshwa,2,2,85000,Property24
Ngong Rd,2,1,40000,Property24
Kileleshwa,2,1,55000,Property24
Kitisuru,3,2,105000,Property24
Lavington,3,3,85000,Property24
Westlands,1,1,70000,Property24
Westlands,2,3,150000,Property24
Langata,1,1,25000,Property24
Riverside,1,1,60000,Property24
Riverside,2,2,75000,Property24
Kilimani,3,3,170000,Property24
Westlands,1,1,80000,Property24
Westlands,2,2,9500000,Property24
Kileleshwa,3,3,150000,Property24
Riverside,3,4,160000,Property24
Spring Valley,4,5,550000,Property24
Lavington,4,5,150000,Property24
Kileleshwa,4,4,140000,Property24
Westlands,3,3,150000,Property24
Westlands,3,3,150000,Property24
Lavington,3,4,120000,Property24
Loresho,3,3,75000,Property24
