bathrooms,bedrooms,external_features,internal_features,location,nearby,price,title
2,2,,,Ruaka,,35000,2 Bed Apartment in Ruaka
2,2,"Balcony,CCTV,Borehole,Electric Fence,Lift/Elevator,Gym,Parking,Swimming Pool,Wheelchair Access,Pet Friendly,Kids Play Area,Gated Community","En Suite,Backup Generator,Alarm,Service Charge Included,Walk In Closet,Fibre Internet,Aircon","Othaya road, Kileleshwa","School,Hospital,Bus Stop,Shopping Centre",97000,2 Bed Apartment with En Suite at Othaya Road
3,3,Swimming Pool,En Suite,"Nyali Area, Nyali",Scenic View,260000,3 Bed Apartment with En Suite in Nyali Area
2,2,"BBQ,Lift/Elevator,Gym,Kids Play Area,Parking,Pet Friendly,CCTV,Electric Fence,Swimming Pool,Borehole,Garden,Wheelchair Access,Staff Quarters,Gated Community,Balcony","Aircon,Alarm,Service Charge Included,Walk In Closet,En Suite,Fibre Internet,Furnished,Backup Generator","Kitisuru, Westlands","Bus Stop,Shopping Centre,Hospital,Scenic View,School",250000,Furnished 2 Bed Apartment with En Suite at Kitisuru
3,3,"Wheelchair Access,Borehole,Swimming Pool,Electric Fence,Parking,CCTV,BBQ,Lift/Elevator,Gym,Gated Community,Balcony","Service Charge Included,Alarm,Backup Generator,Walk In Closet,En Suite,Fibre Internet,Furnished","Rhapta rd, Westlands Area, Westlands","School,Scenic View,Hospital,Bus Stop,Shopping Centre,Golf Course",260000,Furnished 3 Bed Apartment with En Suite at Rhapta Rd
3,3,"CCTV,BBQ,Balcony,Gym,Lift/Elevator,Parking,Electric Fence,Staff Quarters,Swimming Pool,Borehole,Garden,Wheelchair Access,Pet Friendly,Kids Play Area,Gated Community","En Suite,Fibre Internet,Furnished,Backup Generator,Walk In Closet,Service Charge Included,Alarm,Aircon","riverside drive, Riverside, Westlands","Bus Stop,Shopping Centre,Hospital,School,Golf Course,Scenic View",350000,Furnished 3 Bed Apartment with En Suite at Riverside Drive
4,5,"BBQ,CCTV,Electric Fence,Borehole,Garden,Parking,Lift/Elevator,Balcony,Gated Community,Staff Quarters,Swimming Pool,Pet Friendly","Backup Generator,En Suite,Fibre Internet,Walk In Closet,Service Charge Included","General Mathenge, 01, Spring Valley, Westlands","Golf Course,Bus Stop,Shopping Centre,Hospital,Scenic View,School",300000,5 Bed Apartment with En Suite at General Mathenge
1,1,"Balcony,Lift/Elevator,Parking,Gym,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Furnished,Fibre Internet","Riverside, Westlands","Bus Stop,Shopping Centre,Hospital,School",220000,Furnished 1 Bed Apartment with En Suite in Riverside
2,2,"Balcony,Lift/Elevator,Gym,Parking,CCTV,Electric Fence,Borehole,Swimming Pool,Wheelchair Access","Backup Generator,Walk In Closet,Service Charge Included,En Suite,Fibre Internet,Furnished","Rhapta road, Westlands Area, Westlands","Scenic View,Shopping Centre",230000,Furnished 2 Bed Apartment with En Suite at Rhapta Road
4,4,"Balcony,Gym,Lift/Elevator,Parking,Wheelchair Access,Borehole,Electric Fence,CCTV,Swimming Pool","En Suite,Backup Generator,Walk In Closet,Service Charge Included,Fibre Internet,Furnished","Valley Arcade, Lavington","Scenic View,Shopping Centre",400000,Furnished 4 Bed Apartment with En Suite at Valley Arcade
3,3,"BBQ,Lift/Elevator,Balcony,Electric Fence,Borehole,Garden,Wheelchair Access,Swimming Pool,Staff Quarters,Parking,CCTV,Kids Play Area","Aircon,Alarm,Service Charge Included,Walk In Closet,En Suite,Fibre Internet,Backup Generator","Peponi Road, Westlands Area, Westlands","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",275100,3 Bed Apartment with En Suite at Peponi Road
3,3,"Balcony,CCTV,Electric Fence,Borehole,Gym,Lift/Elevator,Parking,Swimming Pool,Wheelchair Access,Gated Community,Pet Friendly","Backup Generator,En Suite,Fibre Internet,Service Charge Included,Walk In Closet","Parklands, Westlands","Bus Stop,Hospital,Scenic View,School,Shopping Centre",220000,3 Bed Apartment with En Suite at Parklands
4,4,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Wheelchair Access,Swimming Pool,Staff Quarters,Parking,Lift/Elevator,Gym","Backup Generator,En Suite,Fibre Internet,Service Charge Included,Walk In Closet","Westlands Area, Westlands","Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",380000,4 Bed Apartment with En Suite in Westlands Area
4,4,"Balcony,Gated Community,Gym,BBQ,Lift/Elevator,Kids Play Area,Pet Friendly,Parking,CCTV,Electric Fence,Staff Quarters,Swimming Pool,Borehole,Wheelchair Access,Garden","Alarm,Service Charge Included,Walk In Closet,Backup Generator,En Suite,Fibre Internet","Westlands Area, Westlands","Shopping Centre,Bus Stop,Hospital,Scenic View,School",350000,4 Bed Apartment with En Suite in Westlands Area
2,2,"Balcony,Parking",En Suite,"Thindigua,Kiambu Road, Thindigua","Bus Stop,Hospital,Scenic View,School,Shopping Centre",40000,2 Bed Apartment with En Suite at Kiambu Road
3,3,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet","Westlands Area, Westlands","Bus Stop,Shopping Centre,Hospital,School",320000,3 Bed Apartment with En Suite in Westlands Area
3,3,"Gym,Balcony,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished","Westlands Area, Westlands","Bus Stop,Shopping Centre,Hospital,School",270000,Furnished 3 Bed Apartment with En Suite in Westlands Area
2,2,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished","Westlands Area, Westlands","Bus Stop,Shopping Centre,Hospital,School",280000,Furnished 2 Bed Apartment with En Suite in Westlands Area
5,5,"BBQ,CCTV,Electric Fence,Borehole,Parking,Lift/Elevator,Balcony,Kids Play Area,Staff Quarters,Pet Friendly,Gated Community,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet,Walk In Closet,Service Charge Included,Aircon","General mathenge, 01, Westlands Area, Westlands","Hospital,Golf Course,Bus Stop,Shopping Centre,Scenic View,School",350000,5 Bed Apartment with En Suite at General Mathenge
5,5,"BBQ,CCTV,Electric Fence,Borehole,Balcony,Lift/Elevator,Parking,Staff Quarters,Kids Play Area,Gated Community,Garden","Backup Generator,En Suite,Fibre Internet,Walk In Closet,Service Charge Included","General mathenge, 01, General Mathenge, Westlands","Hospital,Golf Course,Bus Stop,Scenic View,School,Shopping Centre",350000,5 Bed Apartment with En Suite at General Mathenge
2,2,"Balcony,Electric Fence,Borehole,Garden,Gym,Parking,Swimming Pool,Gated Community","En Suite,Fibre Internet,Furnished,Service Charge Included","Riara rd, 047, Lavington","Bus Stop,Golf Course,Hospital,School,Shopping Centre",130000,Furnished 2 Bed Apartment with En Suite at Riara Rd
3,3,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Garden,Gym,Lift/Elevator,Parking,Staff Quarters,Swimming Pool,Wheelchair Access,Gated Community,Kids Play Area,Pet Friendly","Aircon,Alarm,Backup Generator,En Suite,Fibre Internet,Serviced,Service Charge Included","kileleshwa, Kileleshwa","Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",350000,Serviced 3 Bed Apartment with En Suite at Kileleshwa
5,5,"BBQ,CCTV,Electric Fence,Borehole,Parking,Pet Friendly,Lift/Elevator,Balcony,Staff Quarters,Garden,Gated Community","Alarm,Backup Generator,En Suite,Fibre Internet,Walk In Closet,Service Charge Included","Spring valley, 01, Spring Valley, Westlands","Golf Course,Bus Stop,Hospital,Scenic View,Shopping Centre",350000,5 Bed Apartment with En Suite at Spring Valley
3,3,"Balcony,Gym,Lift/Elevator,Gated Community,Kids Play Area,Pet Friendly,Parking,CCTV,Electric Fence,Staff Quarters,Swimming Pool,Wheelchair Access,Garden,BBQ","Walk In Closet,En Suite,Furnished,Fibre Internet,Service Charge Included,Alarm,Backup Generator","Garden Estate, Roysambu","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",280000,Furnished 3 Bed Apartment with En Suite in Garden Estate
4,4,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished",Kilimani,"Bus Stop,Shopping Centre,Hospital,School",380000,Furnished 4 Bed Apartment with En Suite in Kilimani
3,3,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished",Kilimani,"Bus Stop,Shopping Centre,Hospital,School",380000,Furnished 3 Bed Apartment with En Suite in Kilimani
4,4,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Backup Generator,Alarm,En Suite,Fibre Internet",Kilimani,"Bus Stop,Shopping Centre,Hospital,School",150000,4 Bed Apartment with En Suite in Kilimani
3,3,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished",Kilimani,"Bus Stop,Shopping Centre,Hospital,School",300000,Furnished 3 Bed Apartment with En Suite in Kilimani
1,1,"Balcony,Lift/Elevator,Gym,Parking,Swimming Pool,Wheelchair Access,Borehole,Electric Fence,CCTV,Kids Play Area","Walk In Closet,Service Charge Included,Furnished,Fibre Internet,Backup Generator,En Suite","kilimani, Kilimani","Scenic View,Shopping Centre",150000,Furnished 1 Bed Apartment with En Suite at Kilimani
5,5,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Wheelchair Access,Swimming Pool,Staff Quarters,Parking,Lift/Elevator,Pet Friendly","En Suite,Fibre Internet,Backup Generator,Alarm,Service Charge Included,Aircon,Walk In Closet","general mathenge, Westlands Area, Westlands","Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",350000,5 Bed Apartment with En Suite at General Mathenge
3,3,"Lift/Elevator,CCTV,Parking,Electric Fence,Borehole,Kids Play Area,Wheelchair Access","Alarm,Service Charge Included,Walk In Closet,Backup Generator,En Suite,Fibre Internet","Westlands Area, Westlands","Bus Stop,Shopping Centre,Hospital,Scenic View,School",120000,3 Bed Apartment with En Suite in Westlands Area
2,2,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished","Westlands Area, Westlands","Bus Stop,Shopping Centre,Hospital,School",200000,Furnished 2 Bed Apartment with En Suite in Westlands Area
2,2,"Balcony,Kids Play Area,Parking,Garden,Borehole,CCTV,Lift/Elevator,Gym",Backup Generator,Kileleshwa,"Shopping Centre,Hospital,School",85000,2 Bed Apartment with Gym in Kileleshwa
2,2,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Parking,Gated Community,Kids Play Area,Pet Friendly","Alarm,En Suite,Fibre Internet,Service Charge Included","Quick Mart Supermarket, Ongata Rongai","Bus Stop,Hospital,Scenic View,School,Shopping Centre",33500,2 Bed Apartment with En Suite at Quick Mart Supermarket
2,2,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Furnished,Fibre Internet","Westlands Area, Westlands","Bus Stop,Shopping Centre,Hospital,School",240000,Furnished 2 Bed Apartment with En Suite in Westlands Area
2,2,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Garden,Gym,Lift/Elevator,Parking,Swimming Pool,Wheelchair Access,Gated Community,Kids Play Area,Pet Friendly","Aircon,Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Serviced,Service Charge Included",Kilimani,"Bus Stop,Golf Course,Hospital,Scenic View,School,Sea View,Shopping Centre",8000,Serviced 2 Bed Apartment with En Suite in Kilimani
3,3,"Borehole,Electric Fence,Balcony,CCTV,Parking,Lift/Elevator,Gated Community,Kids Play Area,Staff Quarters,Swimming Pool,Wheelchair Access,Garden,Gym","Backup Generator,Alarm,Aircon,En Suite,Fibre Internet,Furnished,Walk In Closet,Service Charge Included,Serviced","riverside drive, Riverside, Westlands","School,Scenic View,Hospital,Golf Course,Bus Stop,Shopping Centre",350000,Serviced 3 Bed Apartment with En Suite at Riverside Drive
3,3,"Balcony,Parking",En Suite,Kileleshwa,,125000,3 Bed Apartment with En Suite in Kileleshwa
5,5,"BBQ,CCTV,Electric Fence,Parking,Lift/Elevator,Balcony,Gated Community,Staff Quarters,Borehole,Garden,Swimming Pool","Backup Generator,En Suite,Fibre Internet,Walk In Closet,Service Charge Included,Alarm","westlands, 01, Westlands Area, Westlands","Golf Course,Hospital,Scenic View,Bus Stop,Shopping Centre,School",350000,5 Bed Apartment with En Suite at Westlands
4,5,"BBQ,CCTV,Electric Fence,Borehole,Parking,Lift/Elevator,Balcony,Kids Play Area,Pet Friendly,Staff Quarters,Swimming Pool,Gym,Gated Community","En Suite,Backup Generator,Fibre Internet,Walk In Closet,Service Charge Included","General mathenge, 01, General Mathenge, Westlands","Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",350000,5 Bed Apartment with En Suite at General Mathenge
4,5,"CCTV,Electric Fence,Parking,Kids Play Area,Lift/Elevator,BBQ,Borehole,Staff Quarters,Pet Friendly,Gated Community,Balcony,Swimming Pool","Backup Generator,En Suite,Walk In Closet,Service Charge Included","General Mathenge, Westlands","Golf Course,Bus Stop,Hospital,Scenic View,School,Shopping Centre",350000,5 Bed Apartment with En Suite at General Mathenge
2,2,Balcony,En Suite,Kilimani,,150000,2 Bed Apartment with En Suite in Kilimani
2,2,"Balcony,Garden","En Suite,Furnished",Lavington,,220000,Furnished 2 Bed Apartment with En Suite in Lavington
3,3,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet","Westlands Area, Westlands","Shopping Centre,Bus Stop,Hospital,School",250000,3 Bed Apartment with En Suite in Westlands Area
3,3,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Serviced","Westlands Area, Westlands","Bus Stop,Shopping Centre,Hospital,School",185000,Serviced 3 Bed Apartment with En Suite in Westlands Area
2,2,"Balcony,Garden,Parking","En Suite,Furnished",Lavington,,280000,Furnished 2 Bed Apartment with En Suite in Lavington
1,2,"Balcony,BBQ,CCTV,Borehole,Parking,Kids Play Area,Pet Friendly","Fibre Internet,Service Charge Included",Ongata Rongai,"Bus Stop,Hospital,Scenic View,School,Shopping Centre",25000,2 Bed Apartment with Borehole in Ongata Rongai
2,2,"Gated Community,Pet Friendly",Fibre Internet,"Lower Hill Road, Next to Don Bosco, Upper Hill","Bus Stop,Shopping Centre,School,Hospital",55000,2 Bed Apartment at Lower Hill Road
2,3,"Balcony,CCTV,Electric Fence,Garden,Staff Quarters,Parking,Lift/Elevator,Kids Play Area,Pet Friendly,Gated Community","Fibre Internet,Walk In Closet,Service Charge Included",Kilimani,"Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",75000,3 Bed Apartment with Lift at Kilimani
2,2,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Parking,Kids Play Area,Pet Friendly","En Suite,Fibre Internet,Service Charge Included","Nkoroi, Ongata Rongai","Bus Stop,Hospital,Scenic View,School,Shopping Centre",25000,2 Bed Apartment with En Suite at Nkoroi
3,3,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet","Spring Valley, Westlands","Bus Stop,Shopping Centre,Hospital,School",240000,3 Bed Apartment with En Suite in Spring Valley
3,3,"Balcony,CCTV,Electric Fence,Borehole,Gym,Lift/Elevator,Parking,Swimming Pool,Wheelchair Access","Backup Generator,En Suite,Fibre Internet,Furnished,Serviced,Service Charge Included,Walk In Closet","Church road, Westlands Area, Westlands","Bus Stop,Hospital,Scenic View,School,Shopping Centre",250000,Serviced 3 Bed Apartment with En Suite at Church Road
3,3,"Balcony,CCTV,Electric Fence,Gym,Lift/Elevator,Staff Quarters,Wheelchair Access,Kids Play Area,Parking,Borehole","Backup Generator,En Suite,Fibre Internet,Service Charge Included,Walk In Closet,Furnished",Kilimani,"Bus Stop,Hospital,School,Shopping Centre",220000,Furnished 3 Bed Apartment with En Suite in Kilimani
1,1,"Balcony,CCTV,Electric Fence,Borehole,Gym,Lift/Elevator,Parking,Swimming Pool,Wheelchair Access,Gated Community","Backup Generator,En Suite,Fibre Internet,Service Charge Included,Walk In Closet","Rhapta road, Rhapta Road, Westlands","Bus Stop,Hospital,Scenic View,School,Shopping Centre",110000,1 Bed Apartment with En Suite at Rhapta Road
2,2,"CCTV,Electric Fence,Borehole,Parking,Lift/Elevator,BBQ,Balcony,Gated Community,Kids Play Area,Swimming Pool,Garden","En Suite,Fibre Internet,Backup Generator,Service Charge Included,Walk In Closet","kitisuru, 01, Kitisuru, Westlands","Golf Course,Hospital,Bus Stop,Shopping Centre,Scenic View,School",70000,2 Bed Apartment with En Suite at Kitisuru
3,3,"Electric Fence,CCTV,BBQ,Balcony,Gym,Gated Community,Kids Play Area,Lift/Elevator,Parking,Pet Friendly,Staff Quarters,Borehole,Swimming Pool,Wheelchair Access,Garden","Alarm,Serviced,Backup Generator,Walk In Closet,En Suite,Fibre Internet","Westlands Area, Westlands","Hospital,Golf Course,Bus Stop,Shopping Centre,Scenic View,School",190000,Serviced 3 Bed Apartment with En Suite in Westlands Area
2,2,"Electric Fence,Borehole,Swimming Pool,Wheelchair Access,Parking,CCTV,BBQ,Balcony,Gym,Lift/Elevator,Kids Play Area,Gated Community,Pet Friendly","Alarm,Backup Generator,Service Charge Included,En Suite,Fibre Internet",Kileleshwa,"Bus Stop,Shopping Centre,Hospital,Golf Course,Scenic View,School",80000,2 Bed Apartment with En Suite in Kileleshwa
2,2,"Garden,Borehole,Swimming Pool,Staff Quarters,Electric Fence,CCTV,Parking,Pet Friendly,Kids Play Area,Lift/Elevator,BBQ,Balcony,Gym,Gated Community","Alarm,Serviced,Service Charge Included,Walk In Closet,Backup Generator,En Suite,Fibre Internet,Furnished",Lavington,"Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",260000,Serviced 2 Bed Apartment with En Suite in Lavington
2,3,"CCTV,Electric Fence,Staff Quarters,Parking,Lift/Elevator,Balcony,Borehole","Backup Generator,Service Charge Included,Walk In Closet,En Suite","lavington, Lavington","School,Scenic View,Hospital,Golf Course,Bus Stop,Shopping Centre",150000,3 Bed Apartment with En Suite at Lavington
3,3,"Balcony,Garden,Swimming Pool",En Suite,"Parklands, Westlands",,250000,3 Bed Apartment with En Suite in Parklands
3,2,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Wheelchair Access,Parking,Lift/Elevator","Alarm,Backup Generator,En Suite,Fibre Internet,Walk In Closet",Ruaka,"Shopping Centre,Bus Stop,Golf Course,Hospital,Scenic View,School",45000,2 Bed Apartment with En Suite in Ruaka
4,3,"Balcony,Parking",En Suite,"Riverside, Westlands",,350000,3 Bed Apartment with En Suite in Riverside
5,4,Balcony,En Suite,"Westlands Area, Westlands",,190000,4 Bed Apartment with En Suite in Westlands Area
2,2,"Balcony,CCTV,Electric Fence,Borehole,Gym,Lift/Elevator,Parking,Swimming Pool,Wheelchair Access,Gated Community","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Service Charge Included,Walk In Closet","Rhapta road, Rhapta Road, Westlands","Bus Stop,Hospital,School,Shopping Centre",240000,Furnished 2 Bed Apartment with En Suite at Rhapta Road
2,3,"Parking,Balcony",En Suite,Thika Road,,70000,3 Bed Apartment with En Suite in Thika Road
2,2,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished","Westlands Area, Westlands","Bus Stop,Shopping Centre,Hospital,School",280000,Furnished 2 Bed Apartment with En Suite in Westlands Area
3,3,"Balcony,BBQ,Lift/Elevator,Parking,CCTV,Electric Fence,Borehole,Wheelchair Access,Swimming Pool,Garden,Staff Quarters,Pet Friendly,Kids Play Area","Aircon,Alarm,Furnished,Fibre Internet,En Suite,Walk In Closet,Backup Generator,Service Charge Included","Westlands Area, Westlands","Bus Stop,Shopping Centre,Hospital,Scenic View,School",260000,Furnished 3 Bed Apartment with En Suite in Westlands Area
3,3,"Balcony,BBQ,Lift/Elevator,Parking,CCTV,Electric Fence,Swimming Pool,Borehole,Garden,Wheelchair Access,Staff Quarters,Kids Play Area,Gym","Aircon,Alarm,Service Charge Included,Walk In Closet,En Suite,Fibre Internet,Furnished","Westlands Area, Westlands","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",350000,Furnished 3 Bed Apartment with En Suite in Westlands Area
4,4,"Balcony,CCTV,Electric Fence,Borehole,Wheelchair Access,Swimming Pool,Staff Quarters,Parking,Lift/Elevator,Gym","Fibre Internet,Walk In Closet,Service Charge Included","Brookside, Westlands","Bus Stop,Hospital,Golf Course,Scenic View,School,Shopping Centre",170000,4 Bed Apartment with Swimming Pool in Brookside
2,3,"Balcony,CCTV,Electric Fence,Borehole,Lift/Elevator,Parking,Staff Quarters,Wheelchair Access,Kids Play Area,Swimming Pool,Gym","Alarm,Backup Generator,En Suite,Fibre Internet,Service Charge Included,Walk In Closet",Kilimani,"Bus Stop,Hospital,School,Shopping Centre",140000,3 Bed Apartment with En Suite in Kilimani
2,2,"Lift/Elevator,Parking,Staff Quarters,Swimming Pool,Wheelchair Access,Borehole,Electric Fence,CCTV,BBQ,Gated Community,Kids Play Area","Aircon,Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Walk In Closet,Service Charge Included","Westlands Area, Westlands","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",240000,Furnished 2 Bed Apartment with En Suite in Westlands Area
1,2,"Parking,Balcony,Swimming Pool",En Suite,Kilimani,,125000,2 Bed Apartment with En Suite in Kilimani
2,2,"Balcony,CCTV,Electric Fence,Borehole,Wheelchair Access,Swimming Pool,Parking,Lift/Elevator,Gym","Backup Generator,En Suite,Fibre Internet,Furnished,Walk In Closet,Service Charge Included,Serviced","Westlands Area, Westlands","Golf Course,Hospital,Scenic View,School,Shopping Centre",230000,Serviced 2 Bed Apartment with En Suite in Westlands Area
2,2,"Balcony,Gym,Lift/Elevator,BBQ,Parking,CCTV,Electric Fence,Staff Quarters,Swimming Pool,Borehole,Garden,Wheelchair Access,Pet Friendly,Kids Play Area,Gated Community","Alarm,Backup Generator,Serviced,Walk In Closet,En Suite,Fibre Internet,Furnished,Service Charge Included",Kileleshwa,"Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",200000,Serviced 2 Bed Apartment with En Suite in Kileleshwa
2,2,"Balcony,Gated Community,Kids Play Area,Parking,Pet Friendly,Borehole,Swimming Pool,Electric Fence,CCTV",,Kiambu Road,"Bus Stop,Golf Course,Hospital,School,Shopping Centre",90000,2 Bed Apartment with Swimming Pool in Kiambu Road
1,1,"Garden,Borehole,Electric Fence,CCTV,BBQ,Balcony,Gym,Gated Community,Kids Play Area,Parking,Lift/Elevator,Swimming Pool,Wheelchair Access","Serviced,Alarm,Backup Generator,Walk In Closet,Service Charge Included,En Suite,Fibre Internet,Furnished","Riverside, Westlands","Golf Course,Bus Stop,Shopping Centre,Hospital,Scenic View,School",140000,Serviced 1 Bed Apartment with En Suite in Riverside
2,2,"Gym,Lift/Elevator,Kids Play Area,BBQ,CCTV,Parking,Pet Friendly,Electric Fence,Borehole,Swimming Pool,Wheelchair Access,Garden","En Suite,Fibre Internet,Furnished,Backup Generator,Alarm,Service Charge Included,Walk In Closet",Kilimani,"Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",170000,Furnished 2 Bed Apartment with En Suite in Kilimani
2,2,"Balcony,Gym,Lift/Elevator,CCTV,Parking,Electric Fence,Borehole,Wheelchair Access,Swimming Pool","Alarm,Service Charge Included,Walk In Closet,Backup Generator,En Suite,Fibre Internet",Kileleshwa,"Bus Stop,Shopping Centre,Hospital,School,Scenic View",170000,2 Bed Apartment with En Suite in Kileleshwa
2,2,"Borehole,Wheelchair Access,Electric Fence,Parking,CCTV,Lift/Elevator,Gym","Walk In Closet,En Suite,Backup Generator,Fibre Internet,Furnished,Service Charge Included","General Mathenge, Westlands Area, Westlands","Scenic View,Shopping Centre",260000,Furnished 2 Bed Apartment with En Suite at General Mathenge
2,2,"Garden,Wheelchair Access,Swimming Pool,Borehole,Electric Fence,Staff Quarters,Pet Friendly,Parking,CCTV,BBQ,Lift/Elevator,Kids Play Area,Gated Community,Gym,Balcony","Serviced,Service Charge Included,Walk In Closet,Backup Generator,En Suite,Fibre Internet,Furnished,Alarm","Westlands Area, Westlands","Golf Course,Bus Stop,Shopping Centre,Hospital,Scenic View,School",250000,Serviced 2 Bed Apartment with En Suite in Westlands Area
6,6,"Wheelchair Access,Borehole,Electric Fence,Parking,Balcony,Gated Community,Garden,CCTV,Staff Quarters,Pet Friendly,Kids Play Area","Walk In Closet,En Suite,Fibre Internet,Service Charge Included,Backup Generator",Lavington,"Scenic View,Shopping Centre",400000,6 Bed Apartment with En Suite at Lavington
1,1,"CCTV,Electric Fence,Balcony,Gym,Lift/Elevator,Parking,Swimming Pool,Wheelchair Access,Garden,Borehole,Gated Community,Kids Play Area,Pet Friendly,BBQ","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Service Charge Included,Walk In Closet","Westlands Area, Westlands","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",150000,Furnished 1 Bed Apartment with En Suite in Westlands Area
4,3,"Balcony,CCTV,Electric Fence,Borehole,Garden,Gym,Lift/Elevator,Parking,Staff Quarters,Swimming Pool,Wheelchair Access,Gated Community,Kids Play Area","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Walk In Closet,Service Charge Included",Kilimani,"Golf Course,Bus Stop,Hospital,Scenic View,School,Shopping Centre",260000,Furnished 3 Bed Apartment with En Suite in Kilimani
2,2,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Garden","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished",Muthaiga,"Bus Stop,Shopping Centre,Hospital,School",240000,Furnished 2 Bed Apartment with En Suite in Muthaiga
5,5,"BBQ,CCTV,Electric Fence,Borehole,Parking,Lift/Elevator,Balcony,Staff Quarters,Pet Friendly,Swimming Pool","En Suite,Fibre Internet,Walk In Closet,Service Charge Included","General mathenge, 01, General Mathenge, Westlands","Golf Course,Hospital,Scenic View,School,Bus Stop,Shopping Centre",350000,5 Bed Apartment with En Suite at General Mathenge
5,5,"BBQ,CCTV,Electric Fence,Borehole,Parking,Lift/Elevator,Balcony,Kids Play Area,Staff Quarters,Gym","Backup Generator,En Suite,Fibre Internet,Walk In Closet,Service Charge Included","General mathenge, 01, Spring Valley, Westlands","Hospital,Golf Course,Bus Stop,Shopping Centre,Scenic View",350000,5 Bed Apartment with En Suite at General Mathenge
4,4,"Balcony,Gym,Lift/Elevator,BBQ,CCTV,Parking,Electric Fence,Borehole,Swimming Pool,Wheelchair Access,Garden,Staff Quarters,Kids Play Area","Alarm,Service Charge Included,Walk In Closet,Backup Generator,En Suite,Fibre Internet",Kileleshwa,"Bus Stop,Shopping Centre,Hospital,Scenic View,School",230000,4 Bed Apartment with En Suite in Kileleshwa
3,3,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Garden,Wheelchair Access,Swimming Pool,Parking,Lift/Elevator,Gym,Gated Community,Kids Play Area,Pet Friendly","Alarm,Backup Generator,En Suite,Fibre Internet,Walk In Closet,Service Charge Included",Kiambu Road,"Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",75000,3 Bed Apartment with En Suite in Kiambu Road
